"=""Full report""","=""C/S TAC No.""","=""Beacon Model Name""","=""Manufacturer""","=""Beacon type""","=""In Prod.""","=""Last Rev. Date""","=""Issue date""","=""class""","=""duration""","=""transmit frequency""","=""nav int/ext"""
"=""report""","=""1""","=""Tron 30S""","=""Jotron AS ( former - Jotron Electronics A.S.)""","=""FF / Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""2""","=""RT 160M""","=""Nova Marine Systems Ltd. (not in busines, see Orolia Limited,UK)""","=""FF EPIRB""","=""no""","=""1994-06-27""","=""1989-07-07""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""2""","=""RT 160M""","=""Nova Marine Systems Ltd. (not in busines, see Orolia Limited,UK)""","=""FF EPIRB""","=""no""","=""1994-06-27""","=""1989-07-07""","=""1""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""3""","=""BSU 85""","=""ELTA SA (not in business - see See ECA Group)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""4""","=""SDT 460 M""","=""Sextant Ltd (not in business)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""5""","=""Kannad 406""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""6""","=""SDT 406 A""","=""Sextant Ltd (not in business)""","=""ELT (Auto)""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""7""","=""Kannad 406 F""","=""Martec Serpe-Iesm (not in business - see Orolia S.A.S., France)""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""8""","=""CPT-600M""","=""Caledonian Airborne Systems Ltd.""","=""FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""9""","=""BSP 86""","=""ELTA SA (not in business - see See ECA Group)""","=""FF EPIRB""","=""no""","=""1992-11-09""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
"=""report""","=""10""","=""406 P""","=""Lokata Ltd. (not in business, maintenance by Sartech)""","=""Non FF EPIRB""","=""no""","=""0000-00-00""","=""1989-07-07""","=""2""","=""short""","=""406.025 MHz""","=""N/A"""
